Wall time,Step,Value
1597112068.324054,2872,0.5454545617103577
1597112536.704314,5744,0.5988530516624451
1597113004.7154357,8616,0.6174614429473877
1597113472.9512372,11488,0.6309552192687988
1597113941.2016485,14360,0.6397697329521179
1597114409.9796784,17232,0.6463207602500916
1597114878.6380725,20104,0.6541558504104614
1597115347.1620228,22976,0.6579210758209229
1597115815.5403757,25848,0.6643197536468506
1597116283.6473584,28720,0.6677367687225342
1597116751.2642262,31592,0.6719154715538025
1597117218.2545035,34464,0.6746577620506287
1597117684.46934,37336,0.6808931827545166
1597118150.3739703,40208,0.6830043196678162
1597118615.7379265,43080,0.6864648461341858
1597119080.8983226,45952,0.6884998083114624
1597119546.54504,48824,0.6923955678939819
1597120011.887108,51696,0.6948984861373901
1597120476.7260957,54568,0.6984133720397949
1597120942.4652684,57440,0.7001762986183167
1597121408.0568612,60312,0.7024723887443542
1597121873.6354647,63184,0.7059655785560608
1597122339.4401274,66056,0.708533763885498
1597122805.0286589,68928,0.7095566391944885
